  0.0000000E+00 ,  0.1374479    
  0.2796695     ,  0.1234091    
  0.5593390     ,  0.1816358    
  0.8390085     ,  0.2012085    
   1.118678     ,  9.4764367E-02
   1.398347     ,  0.3997659    
   1.678017     ,  0.7929717    
   1.957686     ,  0.9999054    
   2.237356     ,  0.9024317    
   2.517025     ,  0.5559601    
   2.796695     ,  0.1586051    
   3.076365     ,  0.1708748    
   3.356034     ,  0.2324309    
   3.635704     ,  0.1467001    
   3.915373     ,  9.7953677E-02
   4.195043     ,  0.1501138    
   4.474712     ,  0.1670565    
   4.754382     ,  0.1362730    
   5.034051     ,  0.1045509    
   5.313720     ,  0.2719305    
   5.593390     ,  0.4814761    
   5.873060     ,  0.5838485    
   6.152729     ,  0.5159168    
   6.432398     ,  0.3181215    
   6.712068     ,  0.1140656    
   6.991738     ,  9.2731200E-02
   7.271407     ,  0.1067952    
   7.551076     ,  7.7833250E-02
   7.830746     ,  7.0693113E-02
   8.110415     ,  5.9915882E-02
   8.390085     ,  5.7940356E-02
   8.669754     ,  7.1186937E-02
   8.949424     ,  4.8207950E-02
   9.229094     ,  4.3208044E-02
   9.508763     ,  7.7875338E-02
   9.788432     ,  5.5824067E-02
